id,ra,dec,zspec,q_zsp
VANDELS_CDFS_003378,53.109940,-27.880530,3.2461,3
VANDELS_CDFS_003549,53.104450,-27.880360,1.127,4
VANDELS_CDFS_004521,53.109560,-27.869240,3.7061,1
VANDELS_CDFS_004581,53.108840,-27.868570,3.68,1
VANDELS_CDFS_003749,53.097410,-27.876690,3.01,2
VANDELS_CDFS_004014,53.092050,-27.873990,3.2883,9
VANDELS_CDFS_004192,53.093390,-27.872740,3.467,1
VANDELS_CDFS_005783,53.127240,-27.856290,3.603,9
VANDELS_CDFS_005608,53.122150,-27.858270,2.8018,4
VANDELS_CDFS_006192,53.133800,-27.852570,3.18,1
VANDELS_CDFS_006235,53.119980,-27.851960,3.58,4
VANDELS_CDFS_006198,53.123950,-27.852340,3.703,1
VANDELS_CDFS_007490,53.119080,-27.842550,2.3212,4
VANDELS_CDFS_108637,53.043170,-27.908700,2.0324,21
VANDELS_CDFS_210378,53.041870,-27.906460,3.4669,3
VANDELS_CDFS_211564,53.037690,-27.897630,3.7046,2
VANDELS_CDFS_211543,53.044190,-27.898090,3.4794,3
VANDELS_CDFS_211985,53.045990,-27.894290,3.4728,4
VANDELS_CDFS_212062,53.039110,-27.893800,3.7075,2
VANDELS_CDFS_110679,53.052030,-27.892000,2.5728,4
VANDELS_CDFS_027771,53.048270,-27.885270,3.512,2
VANDELS_CDFS_111456,53.040600,-27.885920,2.6938,4
VANDELS_CDFS_003647,53.072830,-27.880010,1.0972,4
VANDELS_CDFS_003567,53.067850,-27.878720,4.445,2
VANDELS_CDFS_003752,53.067370,-27.878170,1.095,3
VANDELS_CDFS_003767,53.069530,-27.877510,1.0448,4
VANDELS_CDFS_003969,53.069960,-27.874760,3.4667,2
VANDELS_CDFS_003252,53.058930,-27.882440,2.8603,2
VANDELS_CDFS_003864,53.061110,-27.875820,3.4694,2
VANDELS_CDFS_003769,53.073610,-27.876680,4.4153,2
VANDELS_CDFS_003952,53.072760,-27.876320,,20
VANDELS_CDFS_004219,53.078460,-27.873180,3.0791,4
VANDELS_CDFS_004165,53.050290,-27.872780,3.082,2
VANDELS_CDFS_004717,53.061760,-27.867940,3.4756,4
VANDELS_CDFS_004778,53.055100,-27.866880,3.2126,3
VANDELS_CDFS_004863,53.056610,-27.865970,3.4951,21
VANDELS_CDFS_004859,53.055910,-27.866040,3.7008,4
VANDELS_CDFS_004588,53.051690,-27.868510,3.8393,1
VANDELS_CDFS_004890,53.045170,-27.866760,1.2529,4
VANDELS_CDFS_005161,53.054560,-27.862920,3.4205,4
VANDELS_CDFS_005274,53.061740,-27.861670,3.8742,3
VANDELS_CDFS_005278,53.060820,-27.861810,3.0263,23
VANDELS_CDFS_006431,53.061090,-27.851210,,-10
VANDELS_CDFS_111129,53.021040,-27.886720,1.1299,4
VANDELS_CDFS_112769,53.019660,-27.875830,2.6934,4
VANDELS_CDFS_215001,53.021770,-27.873300,3.461,2
VANDELS_CDFS_112799,53.030530,-27.873410,1.356,4
VANDELS_CDFS_114246,53.032490,-27.863240,2.5697,3
VANDELS_CDFS_113062,53.010680,-27.873240,2.6949,4
VANDELS_CDFS_214712,53.006490,-27.875310,2.9708,3
VANDELS_CDFS_215373,53.014840,-27.870890,4.377,4
VANDELS_CDFS_216633,53.010400,-27.861060,3.12,1
VANDELS_CDFS_217045,53.024720,-27.858020,3.4638,4
VANDELS_CDFS_006152,53.025590,-27.853510,1.3563,4
VANDELS_CDFS_216715,53.014970,-27.860610,4.7273,4
VANDELS_CDFS_005330,53.042690,-27.860890,3.4552,1
VANDELS_CDFS_005750,53.048700,-27.856610,3.1915,3
VANDELS_CDFS_005667,53.036170,-27.857590,2.8296,4
VANDELS_CDFS_005764,53.040180,-27.856380,3.4678,4
VANDELS_CDFS_006203,53.038110,-27.852390,3.1658,3
VANDELS_CDFS_006197,53.049090,-27.852290,3.78,4
VANDELS_CDFS_006357,53.052590,-27.851540,1.2642,4
VANDELS_CDFS_006395,53.054550,-27.850080,3.4717,2
VANDELS_CDFS_007077,53.058650,-27.843770,3.5456,3
VANDELS_CDFS_028933,53.029620,-27.848750,3.7795,14
VANDELS_CDFS_008192,53.046570,-27.833710,,0
VANDELS_CDFS_029443,53.038450,-27.834930,4.2051,9
VANDELS_CDFS_005787,53.094580,-27.856230,3.6989,3
VANDELS_CDFS_005806,53.081710,-27.856060,3.4822,3
