id,ra,dec,zspec,Conf
103034108,53.07654,-27.83611,4.7732,1
103019082,53.07992,-27.83362,4.0252,3
108030156,53.08348,-27.83098,4.8475,2
114010076,53.11412,-27.84075,4.0341,3
114006067,53.11142,-27.83614,3.4353,3
109025084,53.10293,-27.84141,4.7727,3
109004028,53.09939,-27.83925,3.2705,2
109017059,53.09996,-27.83837,4.1515,3
122002034,53.11974,-27.83144,3.0027,3
122002035,53.1198,-27.83127,5.319,1
122010066,53.1259,-27.83,3.2376,2
128055260,53.12795,-27.82819,5.6508,1
128007194,53.12699,-27.82478,3.0292,2
128018209,53.12477,-27.82493,3.2412,3
128024216,53.12395,-27.82397,3.4747,3
113007030,53.11392,-27.83121,3.6544,3
128051256,53.11797,-27.82268,5.2135,1
128041242,53.12064,-27.82111,4.4748,1
128045247,53.1198,-27.82199,4.9738,3
113014051,53.10101,-27.8315,4.1525,1
113005024,53.10084,-27.83072,3.2672,3
108017130,53.09582,-27.8294,4.0489,2
108010108,53.09106,-27.82769,3.4771,2
108006104,53.09542,-27.82327,3.1665,2
107033150,53.09361,-27.82045,4.8064,2
112005037,53.10813,-27.81735,3.0579,2
112022074,53.10227,-27.81858,4.7729,3
112014060,53.1042,-27.81726,4.2856,3
112006038,53.10321,-27.81592,3.3312,3
112008040,53.10478,-27.81458,3.4915,2
129017133,53.11083,-27.80966,4.4348,1
103044120,53.06939,-27.83923,5.3902,1
160015065,53.0657,-27.83732,3.7738,2
103002002,53.06719,-27.83447,3.0452,2
103050126,53.06904,-27.83422,5.7794,2
103006046,53.06923,-27.83416,3.0849,3
160040108,53.05908,-27.83891,5.3229,1
160021072,53.05973,-27.83626,4.2851,2
160007050,53.05476,-27.83663,3.3043,1
159006015,53.06142,-27.82986,3.2977,2
103011058,53.0767,-27.83333,3.5709,2
103018081,53.07972,-27.8324,3.9196,3
103031105,53.07091,-27.8317,4.5061,3
103032106,53.07212,-27.83187,4.506,3
103008055,53.07591,-27.82894,3.363,2
107024120,53.08131,-27.82674,4.2815,2
102014087,53.08,-27.82696,3.2549,1
102019097,53.07661,-27.82651,3.3724,3
102013086,53.06645,-27.82791,3.2553,3
102012085,53.07481,-27.82505,3.1673,3
102049176,53.07447,-27.82024,5.103,2
159007016,53.05349,-27.83228,3.3226,2
159008017,53.0542,-27.82925,3.3237,3
159004013,53.05986,-27.82867,3.1681,2
159005014,53.04769,-27.82918,3.2806,1
159049114,53.04612,-27.82467,4.7337,2
159011029,53.05318,-27.82399,3.4936,1
159030067,53.05609,-27.8214,3.7925,2
102046172,53.07117,-27.81834,4.8154,2
101005016,53.06898,-27.81461,3.2575,2
102015088,53.06904,-27.81469,3.2569,2
158050158,53.05543,-27.81482,5.1421,1
101015031,53.05653,-27.81324,4.2755,3
101010025,53.06565,-27.8141,3.7033,2
101023043,53.06764,-27.81222,4.4319,3
101024044,53.06735,-27.81236,4.5443,3
107015098,53.08398,-27.82353,3.658,3
107034151,53.08094,-27.82132,4.8089,3
107008086,53.09135,-27.81415,3.2539,3
107041159,53.088,-27.81315,5.3155,3
107004077,53.08414,-27.81315,3.0575,2
107016099,53.08179,-27.81115,3.7134,3
112027079,53.10181,-27.81074,5.1261,2
112007039,53.09872,-27.80802,3.4635,2
111002002,53.09021,-27.80701,3.4882,1
106007033,53.08778,-27.80571,3.3947,3
106021059,53.08806,-27.80407,4.0905,3
111009022,53.09953,-27.80216,4.2065,3
111015030,53.09801,-27.80106,4.4891,3
106032083,53.07553,-27.80682,4.3616,2
101025045,53.06854,-27.80696,4.5483,2
106004019,53.07115,-27.80632,3.2253,3
106003018,53.07482,-27.8048,2.9776,3
106019055,53.07303,-27.80185,3.9588,3
106014046,53.07176,-27.79843,3.6569,3
106035088,53.07149,-27.79844,4.7216,2
106015047,53.0861,-27.80186,3.6556,3
111001001,53.08946,-27.79506,3.0916,3
106025070,53.08423,-27.79549,4.1243,2
106008034,53.07767,-27.79662,3.4132,2
106009035,53.07869,-27.79497,3.4192,2
106027072,53.07842,-27.79541,4.2814,3
141014087,53.08775,-27.78895,3.9192,1
141040153,53.08898,-27.78837,4.6384,2
141028124,53.08358,-27.78984,4.2834,2
141003075,53.0877,-27.78761,2.9839,1
119031070,53.17988,-27.84303,4.8364,3
119016033,53.18626,-27.84189,4.033,2
119006006,53.18793,-27.84111,3.3924,2
119029068,53.18215,-27.8439,4.7573,3
119003003,53.18351,-27.84269,3.3052,3
117001001,53.15823,-27.84796,3.024,2
117002002,53.1542,-27.84659,3.0277,2
117019062,53.16103,-27.84565,4.7933,2
118006033,53.16288,-27.84314,3.6547,2
118014057,53.16234,-27.84294,4.095,2
117017058,53.15944,-27.84428,4.4313,2
117027076,53.16091,-27.8416,5.3175,2
118018066,53.16277,-27.83968,4.4128,2
118034094,53.17527,-27.84113,5.2963,3
118002011,53.16477,-27.83701,3.1387,3
118021073,53.17536,-27.83138,4.4151,2
119039078,53.17743,-27.83097,5.6137,2
125019040,53.17416,-27.82843,3.6963,1
119007007,53.19472,-27.83808,3.3918,2
119033072,53.19094,-27.83753,5.0771,2
119004004,53.1891,-27.83624,3.3188,3
119026065,53.18707,-27.83731,4.4996,2
119036075,53.18885,-27.83348,5.3335,2
119001001,53.19543,-27.83458,2.9994,1
120004004,53.19756,-27.83212,3.3663,2
120011018,53.20383,-27.83304,4.4325,2
120009015,53.20274,-27.83101,4.1586,3
120006008,53.21219,-27.82935,3.6781,1
120003003,53.21065,-27.82802,3.3039,2
120017026,53.21028,-27.82653,4.8123,2
121032077,53.21093,-27.8263,5.4029,2
121024068,53.21149,-27.82569,4.7704,3
121001001,53.2134,-27.82386,2.9978,3
121012031,53.21042,-27.82471,3.7393,3
121017043,53.21235,-27.82212,4.1712,2
120018027,53.20269,-27.82263,4.8488,3
119023056,53.18613,-27.83426,4.4361,2
119038077,53.18328,-27.83536,5.5666,2
119027066,53.18911,-27.82782,4.5042,2
119002002,53.19057,-27.8246,3.0608,1
119040079,53.19182,-27.8249,5.7871,2
119005005,53.18047,-27.82967,3.3329,3
119017034,53.18151,-27.82925,4.0386,2
125042115,53.17775,-27.82759,4.844,3
125021046,53.17981,-27.82459,3.8184,2
125012028,53.18474,-27.82627,3.4825,1
125010026,53.18379,-27.82382,3.4136,3
125051124,53.18838,-27.81946,5.5871,1
125040110,53.18137,-27.82211,4.7645,3
125062139,53.18014,-27.82119,6.1624,1
125035104,53.18579,-27.81847,4.4756,1
120021030,53.19707,-27.82382,5.0761,1
126049137,53.20416,-27.8172,4.4353,2
126042110,53.20269,-27.81561,3.7117,2
126015035,53.19142,-27.81312,3.166,2
126041109,53.19697,-27.80755,3.6364,1
126047134,53.19398,-27.80809,4.2777,2
117011043,53.15139,-27.84618,3.9552,2
117028077,53.1476,-27.84194,5.4047,3
117029078,53.15686,-27.83957,5.5203,2
117039091,53.15621,-27.83608,5.7678,3
124024054,53.15815,-27.83312,4.2694,3
123053193,53.1465,-27.83692,4.5539,2
123007091,53.14519,-27.8347,3.265,2
