id,ra,dec,z_ALT,n_lines_detected,zspec
29187,3.6113149,-30.3958279,0.305539,1,
29267,3.5531469,-30.3952509,6.816293,1,
29286,3.6099514,-30.3963389,0.295415,1,
29291,3.60711,-30.3956232,2.992307,2,2.992307
29327,3.5561113,-30.3952144,5.657935,1,
29333,3.5538455,-30.3954344,0.690825,1,
29357,3.5534315,-30.395936,2.354753,2,2.354753
29376,3.5618546,-30.3950894,5.774046,2,5.774046
29418,3.582957,-30.3952292,6.869651,1,
29449,3.574445,-30.3955857,2.471803,2,2.471803
29469,3.6112941,-30.3954239,0.309801,1,
29482,3.6113435,-30.3955831,0.310963,1,
29519,3.5619508,-30.3947338,5.02728,1,
29532,3.6110837,-30.3953769,0.310347,1,
29546,3.5590857,-30.3946771,4.042382,1,
29549,3.6016037,-30.3957715,0.944051,1,
29561,3.5581988,-30.3947001,3.981884,1,
29568,3.568379,-30.3946388,5.773627,1,
29579,3.5484649,-30.3946813,5.766749,1,
29599,3.5487522,-30.3946611,5.766877,1,
29600,3.5487089,-30.3947145,5.774693,1,
29601,3.5539036,-30.3955667,0.686944,2,0.686944
29626,3.5486522,-30.3947651,5.76764,1,
29638,3.5486928,-30.3946347,5.766538,1,
29648,3.5545956,-30.3947175,5.027746,2,5.027746
29656,3.6271866,-30.3944835,6.123354,1,
29697,3.5544954,-30.3947022,2.650189,1,
29701,3.590705,-30.3955425,5.656902,3,5.656902
29741,3.6119138,-30.3945964,5.768695,1,
29770,3.6175089,-30.3953485,4.577428,1,
29783,3.6218352,-30.394335,4.186704,1,
29815,3.626425,-30.3944933,2.286726,1,
29817,3.6111082,-30.3942557,4.982387,1,
29820,3.5682635,-30.3942773,4.912126,1,
29914,3.6204873,-30.394314,5.76691,1,
29935,3.600401,-30.3961372,0.945982,2,0.945982
29936,3.6175535,-30.395006,4.569216,4,4.569216
29958,3.6340164,-30.3942388,3.960386,1,
30032,3.6201269,-30.3941871,6.370356,1,
30041,3.6192152,-30.3944555,5.769364,1,
30073,3.5892074,-30.3938296,3.978192,1,
30094,3.5889698,-30.3938062,3.977274,1,
30101,3.5893697,-30.393844,3.978279,1,
30126,3.6175642,-30.3940331,2.439325,2,2.439325
30138,3.5886421,-30.3937638,3.977829,1,
30168,3.5651979,-30.3942635,5.771874,3,5.771874
30205,3.5452584,-30.3936956,3.98368,1,
30290,3.5887913,-30.3937822,3.97799,1,
30299,3.5534397,-30.3953867,0.687206,1,
30303,3.5639187,-30.3935923,4.042136,1,
30331,3.5370484,-30.3941222,2.658622,2,2.658622
30338,3.5486163,-30.3934556,4.749993,1,
30350,3.59475,-30.3971456,0.94407,1,
30352,3.624462,-30.3936459,3.81932,1,
30360,3.5957963,-30.3933484,6.869276,1,
30390,3.6174887,-30.393919,2.431906,2,2.431906
30411,3.5414949,-30.3934582,6.235236,3,6.235236
30449,3.5635433,-30.3934943,5.77276,2,5.77276
30468,3.5510267,-30.3941964,1.006589,2,1.006589
30483,3.5678664,-30.393233,3.787248,1,
30513,3.5696679,-30.3932846,4.911897,1,
30517,3.6297155,-30.3936098,3.955723,1,
30545,3.5558976,-30.3938088,2.016112,2,2.016112
30683,3.5342528,-30.36551,2.285825,2,2.285825
30783,3.5980002,-30.3561363,4.337544,1,
30805,3.5977373,-30.3561786,4.336099,1,
30848,3.5441408,-30.3562382,4.470725,1,
30888,3.5905888,-30.3653542,6.771243,1,
30896,3.5232016,-30.3629247,2.584978,2,2.584978
30902,3.6104634,-30.3653809,4.707476,1,
31084,3.5201504,-30.3651364,4.515375,1,
31197,3.5914189,-30.3659307,1.863015,1,
31209,3.5477235,-30.3660817,4.040273,1,
31211,3.5478604,-30.3662699,3.897636,3,3.897636
31316,3.5621475,-30.3658791,5.925396,2,5.925396
31334,3.6026395,-30.3660184,5.663449,1,
31348,3.5185902,-30.3662164,5.033353,1,
31349,3.5184471,-30.3663819,5.033946,1,
31433,3.5265686,-30.3662549,5.031409,1,
31513,3.5230309,-30.3663011,0.689116,1,
31522,3.5822511,-30.3664995,2.394931,4,2.394931
31589,3.6061024,-30.3676223,4.699503,1,
31617,3.6001174,-30.3658151,6.772524,1,
31625,3.5233928,-30.366632,5.028837,1,
31643,3.6074889,-30.3668847,2.15239,2,2.15239
31673,3.5609173,-30.3666553,2.313594,2,2.313594
31695,3.5483059,-30.3651988,3.89892,1,
31890,3.5766446,-30.3657939,5.016489,1,
31892,3.590573,-30.366773,3.787318,1,
31996,3.5583799,-30.3668361,4.798002,1,
32029,3.5559874,-30.3670226,2.984202,2,2.984202
32030,3.5559711,-30.3671758,2.98529,2,2.98529
32045,3.6129516,-30.366944,3.895079,1,
32084,3.5822721,-30.3670381,4.312001,1,
32134,3.5909697,-30.3671439,2.673422,3,2.673422
32174,3.6119426,-30.3671726,4.890148,1,
32219,3.6102636,-30.3674651,2.328015,3,2.328015
32250,3.5946384,-30.3664034,3.875884,1,
32370,3.5185734,-30.36792,4.45032,1,
32410,3.5430549,-30.3681017,2.575652,4,2.575652
32412,3.5431905,-30.3678926,2.585935,4,2.585935
32458,3.5926995,-30.3662879,6.825466,1,
32469,3.6082029,-30.3679539,0.691223,1,
32471,3.6158001,-30.367755,0.873295,1,
32493,3.5911308,-30.3676534,4.026132,1,
32500,3.5912437,-30.3678209,6.370623,2,6.370623
32513,3.5428472,-30.3679154,0.752463,1,
32616,3.5716584,-30.3677313,4.191153,1,
32805,3.5231411,-30.3686022,2.388129,1,
32817,3.5990686,-30.3683911,2.674352,2,2.674352
32827,3.579819,-30.3682245,4.308411,1,
32898,3.525148,-30.3684933,2.021186,1,
32921,3.5778581,-30.3683353,1.006899,2,1.006899
32938,3.5980892,-30.3683575,2.324174,2,2.324174
32962,3.5880931,-30.3682417,4.515586,1,
32982,3.6114447,-30.368372,5.626298,1,
32993,3.5887985,-30.3682864,5.020086,2,5.020086
33098,3.5374803,-30.3693709,0.823376,1,
33163,3.5823749,-30.3693611,4.224405,1,
33179,3.5810626,-30.3680647,1.855514,1,
33278,3.5559705,-30.3687143,5.936243,1,
33282,3.6060034,-30.3688862,2.326676,3,2.326676
33323,3.5955532,-30.3687702,6.300796,1,
33331,3.5922456,-30.3687804,4.797453,1,
33366,3.543092,-30.369107,2.540656,2,2.540656
33428,3.5616547,-30.3689368,4.332012,1,
33470,3.5926691,-30.3690854,2.562424,4,2.562424
33519,3.5725983,-30.369263,2.489447,3,2.489447
33520,3.5726299,-30.3693065,2.485862,2,2.485862
33548,3.5509127,-30.3698672,3.746329,1,
33686,3.5815667,-30.3691648,3.783053,1,
33723,3.610568,-30.3696316,0.961199,3,0.961199
33746,3.5371089,-30.3690611,0.824996,1,
33749,3.6016329,-30.3692421,4.754336,1,
