id,ra,dec,zphot,zspec,z_spec_source,Muv,mag
JADES-GS-53.18218-27.8299,53.18217803351169,-27.829904130923744,8.7,-9999.0,-,-18.59,29.119840465794645
JADES-GS-53.18283-27.75542,53.18283094581686,-27.75541895733999,9.15,-9999.0,-,-17.94,30.108725682402557
JADES-GS-53.18285-27.76443,53.18285227638792,-27.764433644449948,9.94,-9999.0,-,-17.16,30.04506546706579
JADES-GS-53.18354-27.77014,53.18353846364278,-27.770135760499297,8.95,8.38455,FRESCO,-19.41,27.04115737845875
JADES-GS-53.18355-27.77019,53.18354633592939,-27.77018746735232,8.57,8.387,FRESCO,-19.43,27.647451120457838
JADES-GS-53.18392-27.78691,53.18392165433098,-27.786909021270937,8.71,-9999.0,-,-17.25,28.13674394958363
JADES-GS-53.1844-27.8014,53.18439737454271,-27.801399706282456,8.23,-9999.0,-,-17.16,29.802532212233434
JADES-GS-53.1844-27.80136,53.18440270781314,-27.80136207072331,8.1,-9999.0,-,-16.99,29.321991937687176
JADES-GS-53.18448-27.79696,53.184484909824285,-27.79696389889807,9.66,-9999.0,-,-16.96,28.795963057412838
JADES-GS-53.18521-27.81297,53.185206947694184,-27.81296723419351,9.35,-9999.0,-,-18.01,30.65983695162869
JADES-GS-53.18602-27.81748,53.186022702015975,-27.817479904659347,10.03,-9999.0,-,-18.20,29.58562374850795
JADES-GS-53.18682-27.76427,53.18682143026294,-27.764274374181138,8.83,-9999.0,-,-17.61,30.059594842129556
JADES-GS-53.18729-27.82248,53.18728942394913,-27.822477024972468,8.94,-9999.0,-,-17.68,28.367486608484672
JADES-GS-53.18737-27.81847,53.187365084952894,-27.818474284793744,8.68,-9999.0,-,-18.35,28.96548427692618
JADES-GS-53.1877-27.77593,53.18770292429302,-27.77593306945576,10.91,-9999.0,-,-17.66,30.405791829385766
JADES-GS-53.18787-27.79745,53.18786789088933,-27.79744863622056,8.38,-9999.0,-,-18.67,28.195155046930363
JADES-GS-53.18844-27.75715,53.18844406563083,-27.757151212318472,8.56,-9999.0,-,-17.06,30.053141253318444
JADES-GS-53.18859-27.81466,53.18858828700991,-27.81465538128197,10.57,-9999.0,-,-17.09,30.370960499563882
JADES-GS-53.18936-27.76741,53.1893570628654,-27.767411821087542,12.05,-9999.0,-,-17.52,30.366644588433157
JADES-GS-53.18993-27.77149,53.189927412047695,-27.771493687267395,11.48,-9999.0,-,-19.03,30.111715486480374
JADES-GS-53.19051-27.74982,53.19050503310782,-27.74982355170295,12.08,-9999.0,-,-19.15,29.125386268923236
JADES-GS-53.19057-27.80868,53.19057466827647,-27.80867876104335,9.27,-9999.0,-,-18.57,29.486010776797578
JADES-GS-53.19122-27.80466,53.19121975265025,-27.80466481249055,8.38,-9999.0,-,-17.26,30.023837270253253
JADES-GS-53.19185-27.76245,53.19185401551404,-27.762450739998542,8.45,-9999.0,-,-17.76,29.755896469381344
JADES-GS-53.19211-27.75252,53.19211276495681,-27.7525155680879,8.53,7.987,FRESCO,-19.19,26.791683289577293
JADES-GS-53.19495-27.78068,53.194948875125036,-27.78067578477053,8.77,-9999.0,-,-18.56,29.310760813529427
JADES-GS-53.19523-27.75751,53.19522730051629,-27.75751136299328,9.03,-9999.0,-,-17.64,29.04011204540224
JADES-GS-53.19592-27.7555,53.19591684862959,-27.755498197232978,15.32,-9999.0,-,-18.98,30.26070920349283
JADES-GS-53.19642-27.80169,53.1964180017137,-27.801689292744562,9.36,-9999.0,-,-17.07,30.49660563092697
JADES-GS-53.19669-27.76591,53.19668569045549,-27.7659108290548,8.6,-9999.0,-,-18.22,28.67547058217574
JADES-GS-53.1967-27.79835,53.19670175780997,-27.798345730672118,9.02,-9999.0,-,-17.74,30.097488496555343
JADES-GS-53.19679-27.76592,53.196794705854266,-27.76592151122817,8.27,-9999.0,-,-18.52,28.968230786808498
JADES-GS-53.19697-27.77846,53.19697425230916,-27.77845530201991,9.11,-9999.0,-,-17.53,30.75869695237718
