id,ra,dec,zspec,zconf
rxj1347-698,206.86933,-11.76488,0.75947,3
rxj1347-1,206.86571,-11.76515,1.76864,2
rxj1347-473,206.866,-11.76492,0.44808,3
rxj1347-727,206.86538,-11.76418,1.767186,2
rxj1347-4579,206.86485,-11.76516,0.1007,3
rxj1347-524,206.86672,-11.7643,0.44863,3
rxj1347-826,206.86644,-11.76326,0.000418,2
rxj1347-236,206.87347,-11.76633,4.94722,3
rxj1347-813,206.87273,-11.76496,4.38423,2
rxj1347-833,206.87277,-11.76439,0.66848,3
rxj1347-883,206.87621,-11.76409,0.457088,2
